full_name,neo,pha,sats,H,G,diameter,extent,albedo,rot_per,GM,BV,UB,spec_B,spec_T,orbit_id,epoch,equinox,e,a,q,i,om,w,ma,ad,n,tp,per_y,moid,moid_jup,t_jup,class,producer,data_arc,first_obs,last_obs,n_obs_used,condition_code,rms
   719 Albert (A911 TB),Y,N,0,15.59,,,,,5.801,,,,S,,JPL 257,2460000.5,J2000,0.547,2.637,1.195,11.58,183.86,156.25,10.24,4.08,0.2301,2459956.02,4.28,0.2,1.42,3.14,AMO,Otto Matic,40483,04/10/11,05/08/22,2035,0,0.41003
   887 Alinda (A918 AA),Y,N,0,13.83,-0.12,4.2,,0.31,28.41,,0.832,0.436,,S,JPL 434,2460000.5,J2000,0.5707,2.472,1.061,9.4,110.42,350.48,188.04,3.88,0.2535,2460678.79,3.89,0.0801,1.32,3.22,AMO,Otto Matic,38167,03/02/18,03/08/22,2676,0,0.40156
  1036 Ganymed (A924 UB),Y,N,0,9.21,0.3,37.675,,0.238,10.297,,0.842,0.417,S,S,JPL 1071,2460000.5,J2000,0.533,2.666,1.245,26.69,215.5,132.47,231.16,4.09,0.2264,2460569.53,4.35,0.344,1.95,3.03,AMO,Otto Matic,35962,23/10/24,09/04/23,8192,0,0.35554
  1221 Amor (1932 EA1),Y,N,0,17.38,,1,,,,,,,,,JPL 111,2460000.5,J2000,0.4358,1.919,1.083,11.88,171.32,26.63,49.38,2.76,0.3708,2459867.32,2.66,0.106,2.21,3.78,AMO,Otto Matic,32775,12/03/32,05/12/21,585,0,0.44014
  1566 Icarus (1949 MA),Y,Y,0,16.5,,1,,0.51,2.2726,,0.774,0.52,,,JPL 137,2460000.5,J2000,0.8269,1.078,0.187,22.8,87.95,31.44,352.55,1.97,0.8804,2460008.96,1.12,0.0339,3.22,5.3,APO,Otto Matic,26694,01/07/49,01/08/22,1154,0,0.34701
  1580 Betulia (1950 KA),Y,N,0,14.69,0,5.8,,0.08,6.1324,,0.656,0.249,,C,JPL 277,2460000.5,J2000,0.487,2.198,1.127,52.1,62.26,159.55,137.66,3.27,0.3026,2459545.51,3.26,0.137,1.86,3.06,AMO,Otto Matic,26512,22/05/50,22/12/22,1509,0,0.5103
  1620 Geographos (1951 RA),Y,Y,0,15.32,,2.56,5.0x2.0x2.1,0.29,5.22204,,0.862,0.471,S,S,JPL 740,2460000.5,J2000,0.3355,1.246,0.828,13.34,337.17,276.96,224.05,1.66,0.7089,2460192.27,1.39,0.0294,3.45,5.07,APO,Otto Matic,26138,14/09/51,07/04/23,5265,0,0.3425
  1627 Ivar (1929 SH),Y,N,0,12.75,0.6,9.12,,0.15,4.795,,0.872,0.459,S,S,JPL 1174,2460000.5,J2000,0.3965,1.864,1.125,8.45,133.12,167.81,284,2.6,0.3874,2460196.68,2.54,0.112,2.65,3.88,AMO,Otto Matic,34164,25/09/29,09/04/23,8298,0,0.3463
  1685 Toro (1948 OA),Y,N,0,14.31,,3.4,,0.31,10.1995,,0.88,0.47,S,S,JPL 629,2460000.5,J2000,0.436,1.368,0.771,9.38,274.22,127.23,186.57,1.96,0.6163,2460281.91,1.6,0.0511,3.48,4.71,APO,Otto Matic,27291,17/07/48,06/04/23,3741,0,0.31813
  1862 Apollo (1932 HA),Y,Y,1,16.11,0.09,1.5,,0.25,3.065,,0.819,0.481,Q,Q,JPL 439,2460000.5,J2000,0.5599,1.471,0.647,6.35,35.56,286.06,281.25,2.29,0.5526,2460143,1.78,0.0262,3.07,4.41,APO,Otto Matic,33721,13/12/30,10/04/23,2453,0,0.45565
  1863 Antinous (1948 EA),Y,N,0,15.44,,2.1,,0.24,7.453,,0.763,0.359,Sq,SU,JPL 210,2460000.5,J2000,0.6058,2.259,0.891,18.4,346.42,268.07,0.1,3.63,0.2902,2460000.16,3.4,0.184,2.01,3.3,APO,Otto Matic,27402,05/03/48,14/03/23,1105,0,0.4862
  1864 Daedalus (1971 FA),Y,N,0,14.77,,3.7,,0.273,8.572,,0.83,0.5,Sr,SQ,JPL 633,2460000.5,J2000,0.6145,1.461,0.563,22.22,6.61,325.67,59.37,2.36,0.5582,2459894.14,1.77,0.269,3.12,4.34,APO,Otto Matic,18975,24/03/71,06/03/23,3075,0,0.40083
  1865 Cerberus (1971 UA),Y,N,0,16.8,,1.2,,0.22,6.8039,,0.79,0.442,S,S,JPL 356,2460000.5,J2000,0.467,1.08,0.576,16.1,212.89,325.28,161.48,1.58,0.8782,2459816.62,1.12,0.156,3.4,5.59,APO,Otto Matic,18260,26/10/71,23/10/21,2146,0,0.37545
  1866 Sisyphus (1972 XA),Y,N,1,12.44,,8.48,,0.15,2.4,,,,S,,JPL 838,2460000.5,J2000,0.5383,1.894,0.874,41.2,63.46,293.1,122.45,2.91,0.3782,2459676.75,2.61,0.103,3.25,3.51,APO,Otto Matic,24906,26/01/55,05/04/23,7697,0,0.29324
  1915 Quetzalcoatl (1953 EA),Y,N,0,18.05,0.1,0.5,,0.21,4.9,,0.784,0.43,,SMU,JPL 12,2460000.5,J2000,0.5704,2.544,1.093,20.4,162.94,347.8,138.62,3.99,0.243,2459429.95,4.06,0.109,1.06,3.12,AMO,Otto Matic,18842,09/03/53,09/10/04,51,0,0.69647
  1916 Boreas (1953 RA),Y,N,0,14.95,,3.5,,,3.4746,,0.852,0.407,S,S,JPL 329,2460000.5,J2000,0.4498,2.272,1.25,12.88,340.6,335.89,107.37,3.29,0.2878,2459627.4,3.42,0.251,2.07,3.44,AMO,Otto Matic,25367,01/09/53,13/02/23,1919,0,0.45842
  1917 Cuyo (1968 AA),Y,N,0,14.35,,5.7,,0.195,2.689,,,,Sl,,JPL 534,2460000.5,J2000,0.5056,2.15,1.063,23.96,188.29,194.53,207.3,3.24,0.3127,2460488.84,3.15,0.0712,2.25,3.43,AMO,Otto Matic,25168,06/05/54,02/04/23,3154,0,0.42947
  1943 Anteros (1973 EC),Y,N,0,15.69,,2.3,,0.17,2.86923,,0.841,0.444,L,S,JPL 678,2460000.5,J2000,0.256,1.43,1.064,8.71,246.31,338.36,44.36,1.8,0.5761,2459923.5,1.71,0.0623,3.19,4.64,AMO,Otto Matic,17873,10/03/73,14/02/22,5018,0,0.3787
  1980 Tezcatlipoca (1950 LA),Y,N,0,13.79,,4.3,,0.25,7.24612,,0.955,0.455,Sl,SU,JPL 673,2460000.5,J2000,0.3648,1.71,1.086,26.87,246.55,115.48,130.55,2.33,0.4409,2459704.43,2.24,0.244,3.41,4,AMO,Otto Matic,26592,19/06/50,09/04/23,4160,0,0.32233
  1981 Midas (1973 EA),Y,Y,0,15.28,,3.4,,,5.22,,,,V,,JPL 229,2460000.5,J2000,0.65,1.777,0.622,39.83,356.85,267.82,9.03,2.93,0.4162,2459978.8,2.37,0.00439,3.31,3.61,APO,Otto Matic,17760,06/03/73,20/10/21,1077,0,0.39189
  2059 Baboquivari (1963 UA),Y,N,0,15.98,,,,,129.47,,,,,,JPL 271,2460000.5,J2000,0.5318,2.642,1.237,11.02,200.69,192.44,273.62,4.05,0.2295,2460376.95,4.3,0.244,1.41,3.15,AMO,Otto Matic,21402,16/10/63,21/05/22,1462,0,0.43618
  2061 Anza (1960 UA),Y,N,0,16.48,,2.6,,,6.712,,0.825,0.35,,TCG:,JPL 192,2460000.5,J2000,0.536,2.265,1.051,3.8,207.36,157.06,109.83,3.48,0.2892,2459620.72,3.41,0.0541,1.99,3.41,AMO,Otto Matic,22802,22/10/60,28/03/23,1883,0,0.34734
  2062 Aten (1976 AA),Y,N,0,17.11,,1.1,,0.26,42.15,,0.93,0.46,Sr,S,JPL 149,2460000.5,J2000,0.1828,0.967,0.79,18.93,108.54,148.05,76.11,1.14,1.037,2459927.07,0.951,0.113,3.92,6.18,ATE,Giorgini,23339,17/12/55,10/11/19,1024,0,0.34905
  2063 Bacchus (1977 HB),Y,N,0,17.25,,1.024,1.11 x 0.53 x 0.50,0.203,14.904,,,,Sq,,JPL 165,2460000.5,J2000,0.3494,1.078,0.701,9.43,33.06,55.35,74.23,1.45,0.8804,2459916.18,1.12,0.0673,3.77,5.67,APO,Otto Matic,16720,24/04/77,02/02/23,951,0,0.32926
  2100 Ra-Shalom (1978 RA),Y,N,0,16.23,0.12,2.3,,0.13,19.797,,0.712,0.31,Xc,C,JPL 385,2460000.5,J2000,0.4366,0.832,0.469,15.76,170.78,356.08,30.42,1.2,1.299,2459977.07,0.759,0.149,3.77,6.95,ATE,Otto Matic,17246,03/10/75,21/12/22,3776,0,0.27494
  2101 Adonis (1936 CA),Y,Y,0,18.72,,0.6,,,,,,,,,JPL 47,2460000.5,J2000,0.7643,1.874,0.442,1.32,349.47,43.63,0.33,3.31,0.3842,2459999.65,2.57,0.0115,2.15,3.55,APO,Otto Matic,30790,21/02/36,09/06/20,123,0,0.39458
  2102 Tantalus (1975 YA),Y,Y,0,15.97,,1.649,,0.245,2.384,,,,Q,,JPL 236,2460000.5,J2000,0.2993,1.29,0.904,64,94.35,61.53,34.65,1.68,0.6726,2459948.98,1.47,0.0424,3.77,4.45,APO,Otto Matic,17160,30/12/75,23/12/22,1553,0,0.30065
  2135 Aristaeus (1977 HA),Y,Y,0,18.05,,,,,,,,,,,JPL 24,2460000.5,J2000,0.5029,1.6,0.795,23.07,191.12,290.97,270.07,2.4,0.4871,2460185.13,2.02,0.00983,2.96,4.13,APO,Otto Matic,15749,17/04/77,30/05/20,61,1,0.54865
  2201 Oljato (1947 XC),Y,Y,0,15.35,,1.8,,0.4328,26,,,,Sq,,JPL 246,2460000.5,J2000,0.7121,2.177,0.627,2.52,74.91,98.38,150.4,3.73,0.3069,2459510.47,3.21,0.00299,1.24,3.3,APO,Otto Matic,33176,03/12/31,02/10/22,1175,0,0.45879
  2202 Pele (1972 RA),Y,N,0,17.14,,,,,,,,,,,JPL 75,2460000.5,J2000,0.5127,2.291,1.117,8.74,169.93,217.93,185.36,3.47,0.2842,2460615,3.47,0.143,2.02,3.4,AMO,Otto Matic,18101,07/09/72,30/03/22,324,0,0.56531
  2212 Hephaistos (1978 SB),Y,N,0,13.52,,5.7,,0.163,48,,0.766,0.397,,SG,JPL 590,2460000.5,J2000,0.8373,2.16,0.351,11.54,27.5,209.41,359.54,3.97,0.3105,2460001.97,3.17,0.116,1.16,3.1,APO,Otto Matic,16187,27/09/78,21/01/23,3439,0,0.41419
  2329 Orthos (1976 WA),Y,N,0,14.57,,,,,4.6473,,,,,,JPL 366,2460000.5,J2000,0.6537,2.41,0.834,24.47,169.28,146.08,167.91,3.98,0.2635,2459363.27,3.74,0.0953,1.71,3.1,APO,Otto Matic,17095,31/05/76,21/03/23,1811,0,0.43616
  2340 Hathor (1976 UA),Y,Y,0,20.32,,0.3,,,3.35,,0.77,0.5,Sq,CSU,JPL 62,2460000.5,J2000,0.4499,0.8438,0.464,5.86,211.31,40.09,10.46,1.22,1.272,2459992.27,0.775,0.00646,3.81,6.88,ATE,Giorgini,16477,25/10/76,05/12/21,572,0,0.37471
  2368 Beltrovata (1977 RA),Y,N,0,15.2,,2.3,,0.27,5.786,,0.83,0.52,,SQ,JPL 310,2460000.5,J2000,0.4133,2.105,1.235,5.22,287.31,43.12,324.94,2.98,0.3227,2460109.14,3.05,0.232,2.42,3.62,AMO,Otto Matic,16336,04/09/77,27/05/22,1541,0,0.52877
  2608 Seneca (1978 DA),Y,N,0,17.48,,0.9,,0.21,8,,0.826,0.454,,S,JPL 24,2460000.5,J2000,0.5701,2.523,1.085,14.64,167.3,37.65,126.45,3.96,0.2459,2459486.24,4.01,0.138,1.13,3.17,AMO,Otto Matic,16284,17/02/78,18/09/22,83,1,0.64986
  3102 Krok (1981 QA),Y,N,0,16.17,,1.6,,,149.4,,0.834,0.521,S,QRS,JPL 381,2460000.5,J2000,0.4496,2.151,1.184,8.44,172.05,154.8,54.24,3.12,0.3125,2459826.92,3.15,0.182,2.27,3.56,AMO,Otto Matic,15121,21/08/81,14/01/23,2311,0,0.43653
  3103 Eger (1982 BB),Y,N,0,15.25,,1.5,,0.64,5.7103,,0.732,0.235,Xe,,JPL 718,2460000.5,J2000,0.3543,1.404,0.907,20.93,129.74,254.09,308.67,1.9,0.5925,2460087.13,1.66,0.0786,3.71,4.61,APO,Otto Matic,14756,21/01/82,16/06/22,4509,0,0.37089
  3122 Florence (1981 ET3),Y,Y,2,13.88,,4.9,,0.231,2.3581,,,,S,,JPL 728,2460000.5,J2000,0.4232,1.769,1.02,22.14,336.06,27.87,109.37,2.52,0.4189,2459739.44,2.35,0.0434,3,3.92,AMO,Otto Matic,16102,09/03/79,09/04/23,5844,0,0.29715
  3199 Nefertiti (1982 RA),Y,N,0,14.96,,2.2,,0.42,3.021,,0.895,0.418,Sq,S,JPL 405,2460000.5,J2000,0.2842,1.575,1.127,32.96,339.99,53.41,139.65,2.02,0.4988,2459720.52,1.98,0.215,3.62,4.19,AMO,Otto Matic,14816,13/09/82,07/04/23,2548,0,0.44187
  3200 Phaethon (1983 TB),Y,Y,0,14.39,,6.25,,0.1066,3.604,,,,B,F,JPL 780,2460000.5,J2000,0.8899,1.271,0.14,22.27,265.17,322.22,196.51,2.4,0.6876,2460238.29,1.43,0.0195,2.73,4.51,APO,Davide Farnocchia,14244,27/10/83,26/10/22,5620,0,0.29598
  3271 Ul (1982 RB),Y,N,0,16.58,,,,,,,,,,,JPL 71,2460000.5,J2000,0.396,2.101,1.269,25.08,158.81,159.1,110.43,2.93,0.3236,2459659.29,3.05,0.274,2.49,3.53,AMO,Otto Matic,14744,14/09/82,26/01/23,239,0,0.57519
  3288 Seleucus (1982 DV),Y,N,0,15.35,,2.8,,0.22,75,,0.91,0.5,K,S,JPL 429,2460000.5,J2000,0.4563,2.033,1.105,5.93,218.62,349.28,37.3,2.96,0.3401,2459890.82,2.9,0.102,2,3.67,AMO,Otto Matic,14650,28/02/82,09/04/22,2174,0,0.46564
  3352 McAuliffe (1981 CW),Y,N,0,15.95,,,,,2.206,,,,A,,JPL 395,2460000.5,J2000,0.3691,1.879,1.185,4.77,107.33,16.12,118.13,2.57,0.3827,2459691.85,2.58,0.202,2.52,3.88,AMO,Otto Matic,15120,06/02/81,01/07/22,2140,0,0.43546
  3360 Syrinx (1981 VA),Y,N,0,16.05,,1.8,,0.17,,,,,,,JPL 133,2460000.5,J2000,0.7456,2.467,0.627,21.14,242.48,63.56,257,4.31,0.2544,2460405.38,3.87,0.107,1.78,2.96,APO,Otto Matic,14313,04/11/81,11/01/21,560,0,0.44866
  3361 Orpheus (1982 HR),Y,Y,0,19.39,,0.3,,0.357,3.5327,,1.022,0.503,,,JPL 181,2460000.5,J2000,0.3229,1.21,0.82,2.66,188.68,302.36,300.45,1.6,0.7401,2460080.97,1.33,0.0141,3.45,5.21,APO,Otto Matic,14537,24/04/82,10/02/22,1151,0,0.33985
  3362 Khufu (1984 QA),Y,Y,0,18.52,,0.7,,0.21,,,,,,,JPL 24,2460000.5,J2000,0.4686,0.9895,0.526,9.92,152.42,55.05,119.11,1.45,1.001,2459881.54,0.984,0.0131,3.52,6.02,ATE,Otto Matic,7394,30/08/84,27/11/04,262,1,0.6347
  3551 Verenia (1983 RD),Y,N,0,16.71,,0.9,,0.37,4.93,,0.839,0.481,,V,JPL 125,2460000.5,J2000,0.4874,2.092,1.073,9.51,173.78,193.29,7.72,3.11,0.3256,2459976.79,3.03,0.0729,2.35,3.58,AMO,Otto Matic,14175,07/09/83,29/06/22,570,0,0.59499
  3552 Don Quixote (1983 SA),Y,N,0,13.07,,19,,0.03,6.665,,,,D,D,JPL 273,2460000.5,J2000,0.7081,4.265,1.245,31.09,349.93,316.6,196.33,7.28,0.1119,2461463.05,8.81,0.337,0.431,2.31,AMO,Otto Matic,14389,10/09/83,01/02/23,1376,0,0.46245
  3553 Mera (1985 JA),Y,N,0,16.42,,,,,3.1944,,,,,,JPL 215,2460000.5,J2000,0.3201,1.645,1.118,36.78,232.49,288.94,9.22,2.17,0.4673,2459980.78,2.11,0.294,3.18,4.02,AMO,Otto Matic,13845,11/05/85,07/04/23,1086,0,0.4596
  3554 Amun (1986 EB),Y,N,0,15.91,,3.341,,0.074,2.53001,,0.707,0.235,,,JPL 263,2460000.5,J2000,0.2807,0.974,0.701,23.36,358.61,359.42,331.36,1.25,1.025,2460028.43,0.961,0.251,4.19,6.11,ATE,Otto Matic,11979,04/03/86,20/12/18,1692,0,0.34675
  3671 Dionysus (1984 KD),Y,Y,1,16.6,,1.5,,0.16,2.7053,,,,Cb,,JPL 150,2460000.5,J2000,0.541,2.199,1.009,13.53,82.07,204.3,310.24,3.39,0.3022,2460165.17,3.26,0.022,1.83,3.43,APO,Otto Matic,14195,27/05/84,08/04/23,828,0,0.50891
  3691 Bede (1982 FT),Y,N,0,14.8,,4.3,,0.515,226.8,,,,Xc,,JPL 657,2460000.5,J2000,0.2841,1.775,1.27,20.36,348.74,234.92,95.07,2.28,0.4169,2459772.49,2.36,0.352,2.83,3.98,AMO,Otto Matic,17263,09/06/75,13/09/22,3773,0,0.3758
  3752 Camillo (1985 PA),Y,N,0,15.21,,2.306,,0.21,37.846,,,,,,JPL 419,2460000.5,J2000,0.3015,1.414,0.987,55.56,147.96,312.23,16.91,1.84,0.5864,2459971.66,1.68,0.0786,3.38,4.24,APO,Otto Matic,17234,28/01/76,05/04/23,2417,0,0.35649
  3753 Cruithne (1986 TO),Y,N,0,15.5,,2.071,,0.365,27.3099,,,,Q,,JPL 240,2460000.5,J2000,0.515,0.9977,0.484,19.8,126.21,43.87,75.42,1.51,0.989,2459924.24,0.997,0.0706,3.51,5.92,ATE,Otto Matic,17902,17/10/73,22/10/22,1216,0,0.37179
  3757 Anagolay (1982 XB),Y,Y,0,19.05,,0.5,,0.18,9.012,,0.859,0.522,,S,JPL 49,2460000.5,J2000,0.4456,1.835,1.017,3.87,74.93,17.22,55.76,2.65,0.3965,2459859.88,2.49,0.0368,2.58,3.9,AMO,Otto Matic,14716,14/12/82,30/03/23,180,0,0.72498
  3838 Epona (1986 WA),Y,N,0,15.72,,,,,2.3812,,,,,,JPL 152,2460000.5,J2000,0.7023,1.505,0.448,29.2,235.47,49.73,265.46,2.56,0.5338,2460177.6,1.85,0.159,2.88,4.13,APO,Otto Matic,13252,30/11/86,13/03/23,875,0,0.5107
  3908 Nyx (1980 PA),Y,N,0,17.46,,1,,0.23,4.42601,,,,V,V,JPL 239,2460000.5,J2000,0.4594,1.927,1.042,2.19,261.21,126.63,304.73,2.81,0.3683,2460150.54,2.68,0.0552,2.65,3.78,AMO,Otto Matic,15264,06/08/80,22/05/22,1947,0,0.46124
  3988 Huma (1986 LA),Y,N,0,17.95,,0.7,,,10.53,,,,,,JPL 140,2460000.5,J2000,0.3166,1.545,1.056,10.77,229.79,86.96,8.21,2.03,0.5135,2459984.51,1.92,0.178,3.31,4.38,AMO,Otto Matic,13056,04/06/86,03/03/22,562,0,0.44362
  4015 Wilson-Harrington (1979 VA),Y,Y,0,16.2,,4,,0.05,3.5736,,0.666,0.279,,CF,JPL 319,2460000.5,J2000,0.6317,2.624,0.967,2.8,266.77,95.45,42.73,4.28,0.2318,2459816.16,4.25,0.0426,1.23,3.08,APO,Otto Matic,26797,19/11/49,02/04/23,1649,0,0.49612
  4034 Vishnu (1986 PA),Y,Y,0,18.52,,0.42,,0.52,44.4,,,,O,,JPL 115,2460000.5,J2000,0.444,1.06,0.589,11.17,157.9,296.7,78.21,1.53,0.9036,2459913.95,1.09,0.0191,3.69,5.7,APO,Otto Matic,13162,02/08/86,15/08/22,673,0,0.41171
  4055 Magellan (1985 DO2),Y,N,0,14.74,,2.49,,0.31,7.475,,,,V,V,JPL 768,2460000.5,J2000,0.3262,1.82,1.227,23.26,164.82,154.44,26.43,2.41,0.4013,2459934.64,2.46,0.238,3.01,3.89,AMO,Otto Matic,13710,21/01/85,05/08/22,5538,0,0.36148
  4179 Toutatis (1989 AC),Y,Y,0,15.32,0.1,5.4,1.70x2.03x4.26,0.405,176,,,,Sk,,JPL 622,2460000.5,J2000,0.6246,2.544,0.955,0.45,125.3,277.89,194,4.13,0.2428,2460684.1,4.06,0.00656,1.29,3.14,APO,Otto Matic,32556,10/02/34,31/03/23,6637,0,0.27452
  4183 Cuno (1959 LM),Y,Y,0,14.18,,3.651,,0.097,3.5595,,,,Sq,,JPL 590,2460000.5,J2000,0.636,1.981,0.721,6.67,294.35,237.04,323.78,3.24,0.3534,2460102.97,2.79,0.0282,1.79,3.57,APO,Otto Matic,23290,05/06/59,11/03/23,3314,0,0.44135
  4197 Morpheus (1982 TA),Y,N,0,15.03,,1.8,,0.37,3.538,,,,Sq,,JPL 162,2460000.5,J2000,0.7724,2.294,0.522,12.6,7.01,122.57,186.91,4.07,0.2836,2460610.79,3.48,0.0983,1.27,3.09,APO,Otto Matic,24822,03/09/54,19/08/22,1003,0,0.47732
  4257 Ubasti (1987 QA),Y,N,0,16.07,,,,,4.4,,,,,,JPL 219,2460000.5,J2000,0.4683,1.647,0.876,40.72,169.16,278.94,241.2,2.42,0.4663,2460255.26,2.11,0.17,3.37,3.91,APO,Otto Matic,12738,23/08/87,08/07/22,966,0,0.51278
  4341 Poseidon (1987 KF),Y,N,0,16.08,,3.177,,0.054,6.262,,,,O,,JPL 168,2460000.5,J2000,0.68,1.834,0.587,11.84,108.04,15.84,165.89,3.08,0.3969,2459582.55,2.48,0.194,2.03,3.69,APO,Otto Matic,12852,29/05/87,05/08/22,777,0,0.50796
  4401 Aditi (1985 TB),Y,N,0,16.08,,1.801,,0.343,6.67,,,,,,JPL 221,2460000.5,J2000,0.5632,2.583,1.129,26.63,22.79,68.12,351.15,4.04,0.2374,2460037.77,4.15,0.334,2.24,3.06,AMO,Otto Matic,13625,14/10/85,02/02/23,1245,0,0.45185
  4450 Pan (1987 SY),Y,Y,0,17.27,,,,,56.48,,,,,,JPL 259,2460000.5,J2000,0.5867,1.442,0.596,5.52,311.77,291.84,210.79,2.29,0.5691,2460262.67,1.73,0.0285,2.76,4.46,APO,Otto Matic,31367,06/02/37,24/12/22,1513,0,0.436
  4486 Mithra (1987 SB),Y,Y,0,15.64,,1.849,2.35 x 1.65 x 1.44,0.297,67.5,,,,,,JPL 304,2460000.5,J2000,0.6625,2.2,0.743,3.04,82.24,168.89,336.11,3.66,0.302,2460079.6,3.26,0.0463,1.4,3.34,APO,Otto Matic,13217,29/01/87,07/04/23,1431,0,0.42478
  4487 Pocahontas (1987 UA),Y,N,0,17.49,,,,,,,,,,,JPL 175,2460000.5,J2000,0.2966,1.731,1.217,16.41,198.11,173.98,196.07,2.24,0.4329,2460379.16,2.28,0.218,3.22,4.06,AMO,Otto Matic,12972,24/09/87,31/03/23,734,0,0.48592
  4503 Cleobulus (1989 WM),Y,N,0,15.82,,,,,2.8164,,,,Sq,,JPL 213,2460000.5,J2000,0.5243,2.704,1.286,2.51,45.96,76.25,154.69,4.12,0.2217,2459302.74,4.45,0.305,1,3.15,AMO,Otto Matic,14766,30/12/80,04/06/21,1247,0,0.50531
  4544 Xanthus (1989 FB),Y,N,0,17.39,,1.3,,,37.65,,,,,,JPL 290,2460000.5,J2000,0.2502,1.042,0.781,14.14,23.96,333.86,158.44,1.3,0.9267,2459829.53,1.06,0.174,4.15,5.83,APO,Otto Matic,12428,30/03/89,09/04/23,1586,0,0.35518
  4581 Asclepius (1989 FC),Y,Y,0,20.74,,,,,8.008,,,,,,JPL 112,2460000.5,J2000,0.3569,1.023,0.658,4.92,180.21,255.36,0.25,1.39,0.9531,2460000.24,1.03,0.00349,3.88,5.91,APO,Otto Matic,11706,31/03/89,18/04/21,424,0,0.47405
  4596 (1981 QB),Y,N,0,16.29,,,,,2.49101,,,,,,JPL 118,2460000.5,J2000,0.5199,2.24,1.075,37.07,154.22,248.37,113.83,3.4,0.294,2459613.38,3.35,0.296,2.88,3.22,AMO,Otto Matic,14597,28/08/81,15/08/21,891,0,0.40301
  4660 Nereus (1982 DB),Y,Y,0,18.65,,0.33,,0.55,15.1749,,,,Xe,,JPL 265,2460000.5,J2000,0.3588,1.485,0.952,1.45,313.14,159.52,225.22,2.02,0.5446,2460247.98,1.81,0.00404,3.11,4.5,APO,Otto Matic,14853,30/09/81,31/05/22,2822,0,0.27438
  4688 (1980 WF),Y,N,0,19.6,,0.6,,0.18,,,0.93,0.463,V,QU,JPL 71,2460000.5,J2000,0.5179,2.232,1.076,6.38,241.23,213.82,228.01,3.39,0.2955,2460447.08,3.33,0.107,1.86,3.44,AMO,Otto Matic,14739,29/11/80,07/04/21,332,0,0.43788
  4769 Castalia (1989 PB),Y,Y,0,17.53,,1.4,,0.092,4.095,,,,,,JPL 96,2460000.5,J2000,0.4831,1.063,0.55,8.89,325.53,121.41,144.62,1.58,0.899,2459839.64,1.1,0.0202,3.67,5.68,APO,Otto Matic,12031,01/08/89,10/07/22,362,0,0.48039
  4947 Ninkasi (1988 TJ1),Y,N,0,18.08,,,,,21.1,,,,Sq,,JPL 177,2460000.5,J2000,0.1684,1.37,1.139,15.65,215.43,192.93,135.81,1.6,0.6145,2459779.5,1.6,0.149,3.77,4.77,AMO,Otto Matic,16480,17/02/78,02/04/23,739,0,0.39782
  4953 (1990 MU),Y,Y,0,14.86,,,,,14.218,,,,,,JPL 299,2460000.5,J2000,0.6574,1.621,0.555,24.38,77.53,77.95,358.51,2.69,0.4774,2460003.63,2.06,0.0251,2.73,3.98,APO,Otto Matic,17793,21/07/74,08/04/23,1635,0,0.40012
  4954 Eric (1990 SQ),Y,N,0,12.58,,10.8,,0.176,12.056,,,,S,,JPL 664,2460000.5,J2000,0.4492,2.002,1.103,17.43,358.42,52.57,139.11,2.9,0.348,2459600.81,2.83,0.194,2.7,3.66,AMO,Otto Matic,17470,07/06/75,06/04/23,3992,0,0.37559
  4957 Brucemurray (1990 XJ),Y,N,0,14.93,,3.499,,0.132,2.892,,,,S,,JPL 163,2460000.5,J2000,0.2188,1.566,1.223,35.01,254.88,97.49,208.55,1.91,0.5032,2460301.5,1.96,0.424,3.6,4.2,AMO,Otto Matic,17193,11/03/76,07/04/23,988,0,0.45077
  5011 Ptah (6743 P-L),Y,Y,0,16.71,,,,,56.3,,,,,,JPL 154,2460000.5,J2000,0.5001,1.636,0.818,7.41,10.64,105.95,251.08,2.45,0.4711,2460231.74,2.09,0.0246,2.7,4.14,APO,Otto Matic,22522,24/09/60,24/05/22,629,0,0.5013
  5131 (1990 BG),Y,N,0,14.86,,,,,37.2,,,,S,,JPL 369,2460000.5,J2000,0.569,1.486,0.641,36.43,110.38,135.83,31.68,2.33,0.544,2459942.27,1.81,0.275,3.02,4.21,APO,Otto Matic,15791,06/12/78,01/03/22,2066,0,0.46872
  5143 Heracles (1991 VL),Y,N,1,14.1,,4.843,,0.227,2.7063,,,,O,,JPL 669,2460000.5,J2000,0.7719,1.835,0.419,9,309.36,227.96,167.68,3.25,0.3966,2459577.7,2.49,0.0579,1.8,3.58,APO,Otto Matic,25193,30/11/53,21/11/22,3779,0,0.38996
  5189 (1990 UQ),Y,Y,0,17.85,,,,,6.653,,,,,,JPL 295,2460000.5,J2000,0.478,1.552,0.81,3.58,135.07,159.95,311.68,2.29,0.5098,2460095.28,1.93,0.0449,2.93,4.31,APO,Otto Matic,11857,20/10/90,07/04/23,1573,0,0.39001
  5324 Lyapunov (1987 SL),Y,N,0,15.45,,,,,,,,,,,JPL 59,2460000.5,J2000,0.6047,2.984,1.18,19.62,352.25,321.14,347.12,4.79,0.1912,2460067.89,5.16,0.229,1,2.88,AMO,Otto Matic,12621,19/09/87,09/04/22,247,0,0.61231
