full_name,neo,pha,sats,H,G,diameter,extent,albedo,rot_per,GM,BV,UB,spec_B,spec_T,orbit_id,epoch,equinox,e,a,q,i,om,w,ma,ad,n,tp,per_y,moid,moid_jup,t_jup,class,producer,data_arc,first_obs,last_obs,n_obs_used,condition_code,rms
436030 (2009 JO2),Y,N,0,19.42,,0.295,,0.296,,,,,,,JPL 80,2460000.5,J2000,0.4783,0.8883,0.463,19.63,203.43,239.71,230.04,1.31,1.177,2460110.9,0.837,0.0557,4.02,6.54,ATE,Otto Matic,4056,13/05/09,20/06/20,353,0,0.54262
436035 (2009 KJ22),Y,N,0,20.09,,,,,,,,,,,JPL 74,2460000.5,J2000,0.4357,2.102,1.186,5.73,243.63,51.39,169.74,3.02,0.3235,2459475.8,3.05,0.188,2.23,3.61,AMO,Otto Matic,4331,31/05/09,09/04/21,289,0,0.45306
436037 (2009 NJ),Y,N,0,18.69,,,,,,,,,,,JPL 59,2460000.5,J2000,0.6582,1.869,0.639,8.24,254.4,132.8,88.53,3.1,0.3859,2459771.07,2.55,0.0809,2.41,3.68,APO,Otto Matic,3881,11/07/09,25/02/20,324,0,0.38296
436094 (2009 SC229),Y,N,0,19.13,,,,,,,,,,,JPL 27,2460000.5,J2000,0.4736,2.144,1.128,6.93,295.25,22.82,119.32,3.16,0.314,2459620.44,3.14,0.121,2.18,3.55,AMO,Otto Matic,2029,29/09/09,20/04/15,116,1,0.38332
436116 (2009 TB3),Y,N,0,21.23,,,,,6.611,,,,,,JPL 60,2460000.5,J2000,0.2193,1.319,1.03,12.22,22.1,249.71,32.85,1.61,0.6507,2459950.03,1.51,0.119,3.5,4.91,AMO,Otto Matic,4321,12/10/09,11/08/21,236,0,0.548
436324 (2010 GZ6),Y,N,0,19.44,,0.369,,0.205,,,,,,,JPL 81,2460000.5,J2000,0.1441,1.401,1.199,44.84,199.43,73.92,209.21,1.6,0.5941,2460254.3,1.66,0.31,3.5,4.44,AMO,Otto Matic,7357,02/11/02,24/12/22,331,0,0.54542
436325 (2010 GR7),Y,N,0,18.39,,0.452,,0.378,,,,,,,JPL 54,2460000.5,J2000,0.8458,1.831,0.282,24.15,157.57,192,37.52,3.38,0.3978,2459906.18,2.48,0.283,2.07,3.42,APO,Otto Matic,6512,02/04/05,30/01/23,221,0,0.5276
436329 (2010 GX62),Y,Y,0,20.09,,0.622,,0.012,,,,,,,JPL 64,2460000.5,J2000,0.7003,2.966,0.889,21.84,206.94,317.13,200.32,5.04,0.193,2460828,5.11,0.00379,0.948,2.75,APO,Otto Matic,1983,16/01/10,22/06/15,182,0,0.64082
436568 (2011 HB53),Y,N,0,17.22,,,,,,,,,,,JPL 67,2460000.5,J2000,0.7025,2.365,0.704,29.98,83.73,351.06,117.85,4.03,0.271,2459565.6,3.64,0.274,1.31,3.03,APO,Otto Matic,6642,17/03/04,24/05/22,326,0,0.46494
436654 (2011 RR12),Y,N,0,19.29,,,,,,,,,,,JPL 66,2460000.5,J2000,0.327,1.738,1.169,7.08,195,182.53,353.29,2.31,0.4303,2460016.1,2.29,0.17,3.16,4.08,AMO,Otto Matic,5865,15/01/03,05/02/19,318,0,0.41062
