spkid,full_name,pdes,name,prefix,neo,pha,sats,H,G,M1,M2,K1,K2,PC,diameter,extent,albedo,rot_per,GM,BV,UB,IR,spec_B,spec_T,H_sigma,diameter_sigma,orbit_id,epoch,epoch_mjd,epoch_cal,equinox,e,a,q,i,om,w,ma,ad,n,tp,tp_cal,per,per_y,moid,moid_ld,moid_jup,t_jup,sigma_e,sigma_a,sigma_q,sigma_i,sigma_om,sigma_w,sigma_ma,sigma_ad,sigma_n,sigma_tp,sigma_per,class,producer,data_arc,first_obs,last_obs,n_obs_used,n_del_obs_used,n_dop_obs_used,condition_code,rms,two_body,A1,A1_sigma,A2,A2_sigma,A3,A3_sigma,DT,DT_sigma
2606441,606441 (2017 YT5),606441,,,Y,Y,0,19.09,,,,,,,,,,,,,,,,,,,JPL 47,2460000.5,60000,2023-02-25.0,J2000,0.4193,1.796,1.043,36.48,133.54,197.02,161.21,2.55,0.4095,2459606.79,2022-01-27.2,879,2.41,0.0411,16,2.83,3.75,3.90E-08,5.10E-08,7.50E-08,1.10E-05,7.30E-06,1.40E-05,1.90E-05,7.20E-08,1.70E-08,3.10E-05,3.70E-05,AMO,Otto Matic,3279,30/01/11,22/01/20,239,,,0,0.4766,,,,,,,,,
2612012,612012 (1983 LC),612012,,,Y,Y,0,19.45,,,,,,,,,,,,,,,,,,,JPL 40,2460000.5,60000,2023-02-25.0,J2000,0.7151,2.603,0.741,1.56,159.69,184.9,129.92,4.46,0.2347,2459447.04,2021-08-20.5,1.53E+03,4.2,0.025,9.74,0.968,2.99,3.00E-08,9.70E-09,7.80E-08,3.20E-06,7.10E-04,7.00E-04,7.90E-06,1.70E-08,1.30E-09,3.10E-05,8.60E-06,APO,Otto Matic,14028,13/06/83,08/11/21,167,,,0,0.44632,,,,,,,,,
2612050,612050 (1997 GL3),612050,,,Y,Y,0,19.14,,,,,,,,,,7.572,,,,,V,,,,JPL 61,2460000.5,60000,2023-02-25.0,J2000,0.7842,2.27,0.49,6.68,194.35,262.56,210.69,4.05,0.2882,2460518.62,2024-07-27.1,1.25E+03,3.42,0.00369,1.44,1.29,3.11,8.70E-09,2.40E-09,2.00E-08,6.40E-06,1.60E-05,1.30E-05,1.40E-06,4.30E-09,4.60E-10,5.40E-06,2.00E-06,APO,Otto Matic,8829,07/04/97,09/06/21,748,,,0,0.32271,,,,,,,,,
2612098,612098 (1999 RM45),612098,,,Y,Y,0,19.77,,,,,,,,,,3.0697,,,,,,,,,JPL 75,2460000.5,60000,2023-02-25.0,J2000,0.6442,1.683,0.599,10.89,162.83,88.67,304.99,2.77,0.4512,2460122.4,2023-06-26.9,798,2.18,0.0026,1.01,2.38,3.94,5.00E-08,7.80E-09,8.60E-08,7.80E-06,4.00E-06,1.00E-05,2.30E-06,1.30E-08,3.10E-09,5.90E-06,5.50E-06,APO,Otto Matic,8094,14/09/99,11/11/21,870,2,0,0,0.30078,,,,,,,,,
2612143,612143 (2000 BO28),612143,,,Y,Y,0,19.84,,,,,,,,,,3.2392,,,,,,,,,JPL 58,2460000.5,60000,2023-02-25.0,J2000,0.5998,1.699,0.68,6.34,319.78,303.38,94.84,2.72,0.445,2459787.39,2022-07-26.8,809,2.21,0.0476,18.5,2.41,3.97,3.10E-08,5.40E-09,5.10E-08,1.20E-05,5.40E-05,5.50E-05,4.50E-06,8.70E-09,2.10E-09,1.00E-05,3.90E-06,APO,Otto Matic,12308,15/02/89,28/10/22,208,,,0,0.57824,,,,,,,,,
2612227,612227 (2001 QC34),612227,,,Y,Y,0,20.2,,,,,,,,,,,,,,,,,,,JPL 158,2460000.5,60000,2023-02-25.0,J2000,0.1876,1.129,0.917,6.24,271.46,215.48,199.35,1.34,0.8221,2460195.92,2023-09-08.4,438,1.2,0.0291,11.3,3.71,5.52,2.30E-08,4.20E-09,2.60E-08,2.60E-06,2.50E-05,3.10E-05,1.80E-05,5.00E-09,4.60E-09,2.20E-05,2.50E-06,APO,Otto Matic,6906,17/08/01,14/07/20,632,,,0,0.41128,,,,-3.70E-14,9.70E-15,,,,
2612267,612267 (2001 SG286),612267,,,Y,Y,0,20.91,,,,,,,,,,,,,,,D,,,,JPL 47,2460000.5,60000,2023-02-25.0,J2000,0.3472,1.358,0.887,7.77,241.11,56.29,223.02,1.83,0.6226,2460220.53,2023-10-03.0,578,1.58,0.00504,1.96,3.39,4.78,2.60E-08,2.20E-09,3.40E-08,7.20E-06,1.90E-05,1.60E-05,9.00E-06,2.90E-09,1.50E-09,1.50E-05,1.40E-06,APO,Otto Matic,6988,27/09/01,14/11/20,214,,,0,0.52422,,,,,,,,,
2612326,612326 (2002 CD14),612326,,,Y,Y,0,20.42,,,,,,,,,,,,,,,,,,,JPL 22,2460000.5,60000,2023-02-25.0,J2000,0.5791,1.778,0.748,2.89,127.67,141.22,260.09,2.81,0.4157,2460240.86,2023-10-23.3,866,2.37,0.0284,11,2.31,3.88,5.10E-08,9.00E-09,9.00E-08,9.90E-06,1.80E-04,1.80E-04,2.20E-05,1.40E-08,3.20E-09,5.30E-05,6.60E-06,APO,Otto Matic,7213,07/02/02,07/11/21,92,,,0,0.68989,,,,,,,,,
2612337,612337 (2002 EY2),612337,,,Y,Y,0,19.45,,,,,,,,,,,,,,,,,,,JPL 51,2460000.5,60000,2023-02-25.0,J2000,0.4865,1.726,0.886,21.73,343.4,51.07,166.73,2.56,0.4348,2459617.06,2022-02-06.5,828,2.27,0.000262,0.102,3.1,3.95,6.10E-08,5.20E-09,1.00E-07,1.60E-05,2.00E-05,2.00E-05,9.70E-06,7.80E-09,2.00E-09,2.10E-05,3.80E-06,APO,Otto Matic,6569,24/02/02,19/02/20,174,,,0,0.55692,,,,,,,,,
2612342,612342 (2002 FC),612342,,,Y,Y,0,19.16,,,,,,,,,,,,,,,,,,,JPL 65,2460000.5,60000,2023-02-25.0,J2000,0.6598,2.835,0.964,6.79,50.27,194.96,125.33,4.7,0.2065,2459393.67,2021-06-28.1,1.74E+03,4.77,0.0205,7.99,0.386,2.94,2.30E-08,1.30E-08,6.50E-08,5.60E-06,3.60E-05,3.10E-05,1.10E-05,2.10E-08,1.40E-09,4.90E-05,1.20E-05,APO,Otto Matic,6973,16/03/02,18/04/21,236,1,3,0,0.50226,,,,,,,,,
