spkid,full_name,pdes,name,prefix,neo,pha,sats,H,G,M1,M2,K1,K2,PC,diameter,extent,albedo,rot_per,GM,BV,UB,IR,spec_B,spec_T,H_sigma,diameter_sigma,orbit_id,epoch,epoch_mjd,epoch_cal,equinox,e,a,q,i,om,w,ma,ad,n,tp,tp_cal,per,per_y,moid,moid_ld,moid_jup,t_jup,sigma_e,sigma_a,sigma_q,sigma_i,sigma_om,sigma_w,sigma_ma,sigma_ad,sigma_n,sigma_tp,sigma_per,class,producer,data_arc,first_obs,last_obs,n_obs_used,n_del_obs_used,n_dop_obs_used,condition_code,rms,two_body,A1,A1_sigma,A2,A2_sigma,A3,A3_sigma,DT,DT_sigma
2594913,594913 'Aylo'chaxnim (2020 AV2),594913,'Aylo'chaxnim,,Y,N,0,16.21,,,,,,,,,,,,,,,,,0.78,,JPL 37,2460000.5,60000,2023-02-25.0,J2000,0.1771,0.5554,0.457,15.87,6.7,187.33,83.42,0.65,2.381,2459965.46,2023-01-20.9,151,0.414,0.348,135,4.3,9.99,9.00E-07,5.70E-08,5.10E-07,6.10E-05,2.60E-04,3.10E-04,5.10E-04,6.70E-08,3.70E-07,2.10E-04,2.30E-05,IEO,Otto Matic,772,04/01/20,14/02/22,248,,,2,0.34178,,,,,,,,,
2009172,  9172 Abhramu (1989 OB),9172,Abhramu,,Y,N,0,16.65,,,,,,,,,,,,,,,,,,,JPL 89,2460000.5,60000,2023-02-25.0,J2000,0.5529,2.71,1.211,7.84,287.62,74.1,185.88,4.21,0.221,2460788.46,2025-04-22.9,1.63E+03,4.46,0.251,97.6,1.45,3.11,5.20E-08,4.40E-09,1.40E-07,7.60E-06,4.80E-05,4.80E-05,6.20E-06,6.90E-09,5.40E-10,2.90E-05,4.00E-06,AMO,Otto Matic,11929,07/07/89,05/03/22,395,,,0,0.62715,,,,,,,,,
2004401,  4401 Aditi (1985 TB),4401,Aditi,,Y,N,0,16.08,,,,,,,1.801,,0.343,6.67,,,,,,,,0.54,JPL 221,2460000.5,60000,2023-02-25.0,J2000,0.5632,2.583,1.129,26.63,22.79,68.12,351.15,4.04,0.2374,2460037.77,2023-04-03.2,1.52E+03,4.15,0.334,130,2.24,3.06,2.60E-08,7.90E-09,6.60E-08,8.60E-06,9.10E-06,1.20E-05,4.80E-06,1.20E-08,1.10E-09,2.00E-05,7.00E-06,AMO,Otto Matic,13625,14/10/85,02/02/23,1245,,,0,0.45185,,,,,,,,,
2002101,  2101 Adonis (1936 CA),2101,Adonis,,Y,Y,0,18.72,,,,,,,0.6,,,,,,,,,,,,JPL 47,2460000.5,60000,2023-02-25.0,J2000,0.7643,1.874,0.442,1.32,349.47,43.63,0.33,3.31,0.3842,2459999.65,2023-02-24.1,937,2.57,0.0115,4.49,2.15,3.55,5.90E-08,9.50E-09,1.10E-07,9.60E-06,4.50E-04,4.50E-04,9.30E-06,1.70E-08,2.90E-09,2.40E-05,7.10E-06,APO,Otto Matic,30790,21/02/36,09/06/20,123,0,5,0,0.39458,,,,-3.30E-14,5.70E-15,,,,
2398188,398188 Agni (2010 LE15),398188,Agni,,Y,Y,0,19.33,,,,,,,0.462,,0.137,21.99,,,,,,,,0.01,JPL 138,2460000.5,60000,2023-02-25.0,J2000,0.2732,0.8644,0.628,13.25,134.19,328.61,106.75,1.1,1.226,2459913.45,2022-11-29.9,294,0.804,0.0219,8.5,4.01,6.78,2.90E-08,2.80E-09,2.50E-08,2.60E-06,3.40E-06,1.10E-05,1.50E-05,3.60E-09,6.00E-09,1.20E-05,1.40E-06,ATE,Otto Matic,7726,02/07/01,27/08/22,684,7,6,0,0.30195,,,,-3.20E-14,1.00E-14,,,,
2024761, 24761 Ahau (1993 BW2),24761,Ahau,,Y,N,0,17.44,,,,,,,,,,,,,,,,,,,JPL 170,2460000.5,60000,2023-02-25.0,J2000,0.3058,1.335,0.927,21.92,121.05,287.53,222.53,1.74,0.6391,2460215.61,2023-09-28.1,563,1.54,0.1,39.1,3.71,4.79,3.50E-08,2.70E-09,4.60E-08,4.60E-06,1.10E-05,1.40E-05,1.70E-05,3.50E-09,1.90E-09,2.70E-05,1.70E-06,APO,Otto Matic,10387,28/01/93,07/07/21,816,,,0,0.51838,,,,,,,,,
2326290,326290 Akhenaten (1998 HE3),326290,Akhenaten,,Y,Y,0,21.83,,,,,,,,,,,,,,,,,,,JPL 66,2460000.5,60000,2023-02-25.0,J2000,0.4403,0.8789,0.492,3.38,53.44,309.35,307.57,1.27,1.196,2460044.34,2023-04-09.8,301,0.824,0.00341,1.33,4.19,6.66,5.00E-08,2.80E-09,4.30E-08,3.40E-06,2.60E-05,2.60E-05,1.60E-05,4.00E-09,5.70E-09,1.30E-05,1.40E-06,ATE,Otto Matic,10233,13/04/93,19/04/21,342,1,0,0,0.39362,,,,-3.00E-14,3.60E-15,,,,
2008034,  8034 Akka (1992 LR),8034,Akka,,Y,N,0,18.02,,,,,,,,,,7.283,,,,,,,,,JPL 114,2460000.5,60000,2023-02-25.0,J2000,0.4092,1.83,1.081,2.02,232.83,68.21,126.12,2.58,0.3982,2459683.8,2022-04-14.2,904,2.48,0.0729,28.4,2.67,3.92,3.10E-08,6.20E-09,5.60E-08,3.40E-06,1.10E-04,1.10E-04,3.20E-05,8.70E-09,2.00E-09,7.80E-05,4.60E-06,AMO,Otto Matic,11174,21/05/92,24/12/22,637,,,0,0.55985,,,,,,,,,
2000719,   719 Albert (A911 TB),719,Albert,,Y,N,0,15.59,,,,,,,,,,5.801,,,,,S,,,,JPL 257,2460000.5,60000,2023-02-25.0,J2000,0.547,2.637,1.195,11.58,183.86,156.25,10.24,4.08,0.2301,2459956.02,2023-01-11.5,1.56E+03,4.28,0.2,77.8,1.42,3.14,2.10E-08,2.50E-09,5.70E-08,2.80E-06,1.50E-05,1.50E-05,2.70E-06,3.90E-09,3.30E-10,1.20E-05,2.30E-06,AMO,Otto Matic,40483,04/10/11,05/08/22,2035,,,0,0.41003,,,,,,,,,
2000887,   887 Alinda (A918 AA),887,Alinda,,Y,N,0,13.83,-0.12,,,,,,4.2,,0.31,28.41,,0.832,0.436,,,S,,,JPL 434,2460000.5,60000,2023-02-25.0,J2000,0.5707,2.472,1.061,9.4,110.42,350.48,188.04,3.88,0.2535,2460678.79,2025-01-03.2,1.42E+03,3.89,0.0801,31.2,1.32,3.22,2.70E-08,3.00E-09,6.60E-08,3.10E-06,2.30E-05,2.30E-05,3.70E-06,4.60E-09,4.60E-10,1.60E-05,2.50E-06,AMO,Otto Matic,38167,03/02/18,03/08/22,2676,,,0,0.40156,,,,,,,,,
2005879,  5879 Almeria (1992 CH1),5879,Almeria,,Y,N,0,17.61,,,,,,,,,,21.967,,,,,,,,,JPL 294,2460000.5,60000,2023-02-25.0,J2000,0.289,1.625,1.155,21.57,145.83,355.81,357.49,2.09,0.476,2460005.78,2023-03-02.2,756,2.07,0.168,65.4,2.93,4.2,1.80E-08,2.70E-09,3.00E-08,2.80E-06,5.70E-06,9.20E-06,5.10E-06,3.50E-09,1.20E-09,1.10E-05,1.90E-06,AMO,Otto Matic,11377,08/02/92,03/04/23,1583,,,0,0.434,,,,,,,,,
2001221,  1221 Amor (1932 EA1),1221,Amor,,Y,N,0,17.38,,,,,,,1,,,,,,,,,,,,JPL 111,2460000.5,60000,2023-02-25.0,J2000,0.4358,1.919,1.083,11.88,171.32,26.63,49.38,2.76,0.3708,2459867.32,2022-10-14.8,971,2.66,0.106,41.4,2.21,3.78,3.30E-08,9.70E-10,6.40E-08,4.50E-06,2.10E-05,2.30E-05,7.80E-06,1.40E-09,2.80E-10,2.10E-05,7.40E-07,AMO,Otto Matic,32775,12/03/32,05/12/21,585,,,0,0.44014,,,,,,,,,
2003554,  3554 Amun (1986 EB),3554,Amun,,Y,N,0,15.91,,,,,,,3.341,,0.074,2.53001,,0.707,0.235,,,,,0.02,JPL 263,2460000.5,60000,2023-02-25.0,J2000,0.2807,0.974,0.701,23.36,358.61,359.42,331.36,1.25,1.025,2460028.43,2023-03-24.9,351,0.961,0.251,97.8,4.19,6.11,2.30E-08,1.30E-09,2.20E-08,2.00E-06,2.50E-06,8.70E-06,1.70E-05,1.70E-09,2.00E-09,1.60E-05,7.00E-07,ATE,Otto Matic,11979,04/03/86,20/12/18,1692,,,0,0.34675,,,,,,,,,
2003757,  3757 Anagolay (1982 XB),3757,Anagolay,,Y,Y,0,19.05,,,,,,,0.5,,0.18,9.012,,0.859,0.522,,,S,,,JPL 49,2460000.5,60000,2023-02-25.0,J2000,0.4456,1.835,1.017,3.87,74.93,17.22,55.76,2.65,0.3965,2459859.88,2022-10-07.3,908,2.49,0.0368,14.3,2.58,3.9,5.20E-08,2.30E-09,9.60E-08,6.50E-06,6.90E-05,7.30E-05,1.20E-05,3.30E-09,7.50E-10,3.10E-05,1.70E-06,AMO,Otto Matic,14716,14/12/82,30/03/23,180,0,2,0,0.72498,,,,,,,,,
2001943,  1943 Anteros (1973 EC),1943,Anteros,,Y,N,0,15.69,,,,,,,2.3,,0.17,2.86923,,0.841,0.444,,L,S,,,JPL 678,2460000.5,60000,2023-02-25.0,J2000,0.256,1.43,1.064,8.71,246.31,338.36,44.36,1.8,0.5761,2459923.5,2022-12-09.9,625,1.71,0.0623,24.2,3.19,4.64,1.10E-08,9.00E-10,1.50E-08,3.40E-07,3.20E-06,4.00E-06,2.50E-06,1.10E-09,5.50E-10,4.40E-06,5.90E-07,AMO,Otto Matic,17873,10/03/73,14/02/22,5018,,,0,0.3787,,,,,,,,,
2001863,  1863 Antinous (1948 EA),1863,Antinous,,Y,N,0,15.44,,,,,,,2.1,,0.24,7.453,,0.763,0.359,,Sq,SU,,,JPL 210,2460000.5,60000,2023-02-25.0,J2000,0.6058,2.259,0.891,18.4,346.42,268.07,0.1,3.63,0.2902,2460000.16,2023-02-24.6,1.24E+03,3.4,0.184,71.6,2.01,3.3,2.60E-08,1.60E-09,5.90E-08,5.30E-06,1.10E-05,1.20E-05,3.40E-06,2.60E-09,3.10E-10,1.20E-05,1.30E-06,APO,Otto Matic,27402,05/03/48,14/03/23,1105,,,0,0.4862,,,,,,,,,
2002061,  2061 Anza (1960 UA),2061,Anza,,Y,N,0,16.48,,,,,,,2.6,,,6.712,,0.825,0.35,,,TCG:,,,JPL 192,2460000.5,60000,2023-02-25.0,J2000,0.536,2.265,1.051,3.8,207.36,157.06,109.83,3.48,0.2892,2459620.72,2022-02-10.2,1.24E+03,3.41,0.0541,21.1,1.99,3.41,2.20E-08,8.70E-10,5.00E-08,2.80E-06,4.40E-05,4.50E-05,1.60E-06,1.30E-09,1.70E-10,5.70E-06,7.20E-07,AMO,Otto Matic,22802,22/10/60,28/03/23,1883,,,0,0.34734,,,,,,,,,
2001862,  1862 Apollo (1932 HA),1862,Apollo,,Y,Y,1,16.11,0.09,,,,,,1.5,,0.25,3.065,,0.819,0.481,,Q,Q,,,JPL 436,2460000.5,60000,2023-02-25.0,J2000,0.5599,1.471,0.647,6.35,35.56,286.06,281.25,2.29,0.5526,2460143,2023-07-17.5,651,1.78,0.0262,10.2,3.07,4.41,1.10E-08,4.60E-10,1.60E-08,2.80E-06,1.60E-05,1.60E-05,2.50E-06,7.10E-10,2.60E-10,4.70E-06,3.00E-07,APO,Otto Matic,33714,13/12/30,03/04/23,2436,8,9,0,0.45697,,,,-3.70E-15,3.70E-16,,,,
2099942, 99942 Apophis (2004 MN4),99942,Apophis,,Y,Y,0,19.09,0.24,,,,,,0.34,,0.35,30.56,,,,,Sq,,0.19,0.04,JPL 216,2460000.5,60000,2023-02-25.0,J2000,0.1914,0.9227,0.746,3.34,203.96,126.61,280.46,1.1,1.112,2460072.03,2023-05-07.5,324,0.886,0.0002,0.0779,4.12,6.46,1.10E-09,2.00E-09,2.10E-09,1.10E-07,3.80E-06,4.20E-06,1.00E-06,2.40E-09,3.70E-09,7.50E-07,1.10E-06,ATE,Davide Farnocchia,6267,15/03/04,12/05/21,7300,20,30,0,0.25792,,5.00E-13,4.90E-13,-2.90E-14,1.90E-16,,,,
2002135,  2135 Aristaeus (1977 HA),2135,Aristaeus,,Y,Y,0,18.05,,,,,,,,,,,,,,,,,,,JPL 24,2460000.5,60000,2023-02-25.0,J2000,0.5029,1.6,0.795,23.07,191.12,290.97,270.07,2.4,0.4871,2460185.13,2023-08-28.6,739,2.02,0.00983,3.83,2.96,4.13,1.30E-06,7.80E-08,2.00E-06,5.10E-05,3.40E-04,1.60E-04,7.40E-04,1.20E-07,3.60E-08,1.50E-03,5.40E-05,APO,Otto Matic,15749,17/04/77,30/05/20,61,,,1,0.54865,,,,,,,,,
2004581,  4581 Asclepius (1989 FC),4581,Asclepius,,Y,Y,0,20.74,,,,,,,,,,8.008,,,,,,,,,JPL 112,2460000.5,60000,2023-02-25.0,J2000,0.3569,1.023,0.658,4.92,180.21,255.36,0.25,1.39,0.9531,2460000.24,2023-02-24.7,378,1.03,0.00349,1.36,3.88,5.91,6.00E-08,4.80E-09,5.90E-08,2.50E-06,2.00E-05,2.00E-05,1.90E-05,6.50E-09,6.70E-09,2.00E-05,2.70E-06,APO,Otto Matic,11706,31/03/89,18/04/21,424,2,2,0,0.47405,,,,-3.60E-14,6.00E-15,,,,
2002062,  2062 Aten (1976 AA),2062,Aten,,Y,N,0,17.11,,,,,,,1.1,,0.26,42.15,,0.93,0.46,,Sr,S,,,JPL 149,2460000.5,60000,2023-02-25.0,J2000,0.1828,0.967,0.79,18.93,108.54,148.05,76.11,1.14,1.037,2459927.07,2022-12-13.5,347,0.951,0.113,44,3.92,6.18,1.40E-09,9.30E-10,1.20E-09,7.10E-07,1.40E-06,1.70E-06,4.40E-06,1.10E-09,1.50E-09,4.10E-06,5.00E-07,ATE,Giorgini,23339,17/12/55,10/11/19,1024,5,2,0,0.34905,,,,-1.10E-14,1.10E-15,,,,
2163693,163693 Atira (2003 CP20),163693,Atira,,Y,N,1,16.39,,,,,,,,,,3.398,,,,,,,,,JPL 172,2460000.5,60000,2023-02-25.0,J2000,0.3222,0.741,0.502,25.62,103.88,252.93,292.06,0.98,1.545,2460044.47,2023-04-09.9,233,0.638,0.207,80.7,4.42,7.67,6.80E-08,1.40E-09,5.00E-08,5.90E-06,4.20E-06,3.50E-06,1.80E-05,1.90E-09,4.40E-09,1.20E-05,6.70E-07,IEO,Otto Matic,7086,11/02/03,07/07/22,842,2,0,0,0.40916,,,,,,,,,
2002059,  2059 Baboquivari (1963 UA),2059,Baboquivari,,Y,N,0,15.98,,,,,,,,,,129.47,,,,,,,,,JPL 271,2460000.5,60000,2023-02-25.0,J2000,0.5318,2.642,1.237,11.02,200.69,192.44,273.62,4.05,0.2295,2460376.95,2024-03-07.4,1.57E+03,4.3,0.244,94.9,1.41,3.15,2.00E-08,4.20E-09,5.20E-08,3.20E-06,1.40E-05,1.50E-05,2.10E-06,6.50E-09,5.50E-10,9.10E-06,3.80E-06,AMO,Otto Matic,21402,16/10/63,21/05/22,1462,,,0,0.43618,,,,,,,,,
2002063,  2063 Bacchus (1977 HB),2063,Bacchus,,Y,N,0,17.25,,,,,,,1.024,1.11 x 0.53 x 0.50,0.203,14.904,,,,,Sq,,,0.02,JPL 165,2460000.5,60000,2023-02-25.0,J2000,0.3494,1.078,0.701,9.43,33.06,55.35,74.23,1.45,0.8804,2459916.18,2022-12-02.6,409,1.12,0.0673,26.2,3.77,5.67,9.40E-09,2.30E-09,8.90E-09,8.30E-07,2.70E-06,3.40E-06,7.60E-06,3.20E-09,2.90E-09,8.40E-06,1.30E-06,APO,Otto Matic,16720,24/04/77,02/02/23,951,7,5,0,0.32926,,,,-1.00E-14,2.90E-15,,,,
2003691,  3691 Bede (1982 FT),3691,Bede,,Y,N,0,14.8,,,,,,,4.3,,0.515,226.8,,,,,Xc,,,,JPL 657,2460000.5,60000,2023-02-25.0,J2000,0.2841,1.775,1.27,20.36,348.74,234.92,95.07,2.28,0.4169,2459772.49,2022-07-11.9,863,2.36,0.352,137,2.83,3.98,6.50E-09,2.60E-09,1.10E-08,7.80E-07,1.70E-06,2.90E-06,3.50E-06,3.40E-09,9.30E-10,8.10E-06,1.90E-06,AMO,Otto Matic,17263,09/06/75,13/09/22,3773,,,0,0.3758,,,,,,,,,
2011284, 11284 Belenus (1990 BA),11284,Belenus,,Y,N,0,18.26,,,,,,,,,,5.43,,,,,,,,,JPL 160,2460000.5,60000,2023-02-25.0,J2000,0.3374,1.74,1.153,1.99,311.73,171.15,146.71,2.33,0.4295,2459658.9,2022-03-20.3,838,2.3,0.168,65.5,2.76,4.08,2.40E-08,2.70E-09,4.10E-08,2.80E-06,8.80E-05,8.90E-05,8.00E-06,3.60E-09,9.90E-10,1.80E-05,1.90E-06,AMO,Otto Matic,26037,09/12/50,23/03/22,752,,,0,0.48686,,,,,,,,,
2002368,  2368 Beltrovata (1977 RA),2368,Beltrovata,,Y,N,0,15.2,,,,,,,2.3,,0.27,5.786,,0.83,0.52,,,SQ,,,JPL 310,2460000.5,60000,2023-02-25.0,J2000,0.4133,2.105,1.235,5.22,287.31,43.12,324.94,2.98,0.3227,2460109.14,2023-06-13.6,1.12E+03,3.05,0.232,90.3,2.42,3.62,6.40E-08,5.30E-09,1.30E-07,4.60E-06,4.80E-05,5.00E-05,2.70E-05,7.50E-09,1.20E-09,8.50E-05,4.20E-06,AMO,Otto Matic,16336,04/09/77,27/05/22,1541,,,0,0.52877,,,,,,,,,
2101955,101955 Bennu (1999 RQ36),101955,Bennu,,Y,Y,0,20.21,-0.03,,,,,,0.482,0.5047 x 0.4918 x 0.4567,0.044,4.296061,4.89E-09,0.64,0.16,-0.33,B,,0.03,0.3,JPL 118,2455562.5,55562,2011-01-01.0,J2000,0.2037,1.126,0.897,6.03,2.06,66.22,101.7,1.36,0.8245,2455439.14,2010-08-30.6,437,1.2,0.00322,1.25,3.88,5.53,7.00E-11,2.00E-10,2.30E-10,6.90E-09,5.60E-08,6.40E-08,4.30E-08,2.40E-10,2.20E-10,2.30E-08,1.10E-07,APO,Davide Farnocchia,7693,11/09/99,03/10/20,554,58,7,0,0.29146,,,,,,,,,
2038086, 38086 Beowulf (1999 JB),38086,Beowulf,,Y,N,0,17.36,,,,,,,0.643,,0.469,2.4104,,,,,,,,0.15,JPL 197,2460000.5,60000,2023-02-25.0,J2000,0.5663,1.42,0.616,23.67,165.33,178.97,327.38,2.22,0.5824,2460056.5,2023-04-22.0,618,1.69,0.386,150,3.2,4.45,4.20E-08,2.40E-09,5.90E-08,6.00E-06,9.10E-06,1.00E-05,8.60E-06,3.80E-09,1.50E-09,1.50E-05,1.60E-06,APO,Otto Matic,10918,01/05/92,23/03/22,913,,,0,0.48452,,,,,,,,,
2001580,  1580 Betulia (1950 KA),1580,Betulia,,Y,N,0,14.69,0,,,,,,5.8,,0.08,6.1324,,0.656,0.249,,,C,,,JPL 277,2460000.5,60000,2023-02-25.0,J2000,0.487,2.198,1.127,52.1,62.26,159.55,137.66,3.27,0.3026,2459545.51,2021-11-27.0,1.19E+03,3.26,0.137,53.3,1.86,3.06,2.20E-08,3.80E-10,4.80E-08,8.00E-06,2.40E-06,6.10E-06,1.80E-06,5.60E-10,7.70E-11,6.00E-06,3.00E-07,AMO,Otto Matic,26512,22/05/50,22/12/22,1509,5,6,0,0.5103,,,,,,,,,
2005797,  5797 Bivoj (1980 AA),5797,Bivoj,,Y,N,0,18.89,,,,,,,0.4,,,2.706,,,,,,,,,JPL 95,2460000.5,60000,2023-02-25.0,J2000,0.4443,1.893,1.052,4.19,298.93,168.65,202.38,2.73,0.3783,2460417.14,2024-04-16.6,952,2.61,0.0695,27.1,2.42,3.83,2.90E-08,8.00E-10,5.40E-08,3.90E-06,3.90E-05,4.00E-05,8.90E-06,1.20E-09,2.40E-10,2.40E-05,6.00E-07,AMO,Otto Matic,23940,12/10/53,29/04/19,523,,,0,0.54102,,,,,,,,,
2018106, 18106 Blume (2000 NX3),18106,Blume,,Y,N,0,17.86,,,,,,,,,,,,,,,,,,,JPL 47,2460000.5,60000,2023-02-25.0,J2000,0.512,2.444,1.193,4.22,109.18,235,317.75,3.7,0.258,2460164.3,2023-08-07.8,1.40E+03,3.82,0.194,75.6,1.74,3.3,3.70E-08,4.40E-09,9.10E-08,5.00E-06,5.60E-05,5.70E-05,7.20E-06,6.70E-09,7.00E-10,2.80E-05,3.80E-06,AMO,Otto Matic,15867,04/09/77,12/02/21,381,,,0,0.53942,,,,,,,,,
2001916,  1916 Boreas (1953 RA),1916,Boreas,,Y,N,0,14.95,,,,,,,3.5,,,3.4746,,0.852,0.407,,S,S,,,JPL 329,2460000.5,60000,2023-02-25.0,J2000,0.4498,2.272,1.25,12.88,340.6,335.89,107.37,3.29,0.2878,2459627.4,2022-02-16.9,1.25E+03,3.42,0.251,97.5,2.07,3.44,3.40E-08,2.90E-09,7.80E-08,4.30E-06,1.20E-05,1.20E-05,5.20E-06,4.10E-09,5.40E-10,1.80E-05,2.40E-06,AMO,Otto Matic,25367,01/09/53,13/02/23,1919,,,0,0.45842,,,,,,,,,
2004957,  4957 Brucemurray (1990 XJ),4957,Brucemurray,,Y,N,0,14.93,,,,,,,3.499,,0.132,2.892,,,,,S,,,0.1,JPL 162,2460000.5,60000,2023-02-25.0,J2000,0.2188,1.566,1.223,35.01,254.88,97.49,208.55,1.91,0.5032,2460301.5,2023-12-22.9,715,1.96,0.424,165,3.6,4.2,4.20E-08,4.10E-09,6.70E-08,9.70E-07,2.90E-06,1.50E-05,2.50E-05,4.90E-09,2.00E-09,5.00E-05,2.80E-06,AMO,Otto Matic,17176,11/03/76,21/03/23,984,,,0,0.4513,,,,,,,,,
2161989,161989 Cacus (1978 CA),161989,Cacus,,Y,Y,0,17.31,,,,,,,1.9,,0.09,3.7538,,0.91,0.484,,,S,,,JPL 284,2460000.5,60000,2023-02-25.0,J2000,0.2138,1.123,0.883,26.07,161.22,102.08,201.69,1.36,0.8285,2460191.57,2023-09-04.0,435,1.19,0.0143,5.56,3.81,5.45,1.40E-08,6.80E-10,1.60E-08,8.00E-07,3.80E-07,1.50E-06,1.70E-06,8.30E-10,7.60E-10,2.10E-06,4.00E-07,APO,Otto Matic,16425,08/02/78,28/01/23,1651,5,0,0,0.3829,,,,-1.10E-14,1.90E-15,,,,
2007092,  7092 Cadmus (1992 LC),7092,Cadmus,,Y,N,0,15.13,,,,,,,6.319,,0.046,,,,,,,,,3.78,JPL 204,2460000.5,60000,2023-02-25.0,J2000,0.6944,2.544,0.778,17.78,56.78,94.78,244.89,4.31,0.2429,2460474.4,2024-06-12.8,1.48E+03,4.06,0.0999,38.9,1.5,3,4.40E-08,8.40E-09,1.10E-07,7.10E-06,1.70E-05,1.70E-05,6.90E-06,1.40E-08,1.20E-09,3.00E-05,7.30E-06,APO,Otto Matic,15476,02/06/80,16/10/22,1155,,,0,0.54856,,,,,,,,,
2005653,  5653 Camarillo (1992 WD5),5653,Camarillo,,Y,N,0,16.24,,,,,,,1.537,,0.271,4.834,,,,,,,,0.02,JPL 402,2460000.5,60000,2023-02-25.0,J2000,0.3046,1.794,1.247,6.88,9.89,122.65,177.86,2.34,0.4102,2459566.94,2021-12-18.4,878,2.4,0.282,110,2.72,4.01,2.30E-08,1.70E-09,4.00E-08,2.70E-06,2.30E-05,2.30E-05,5.90E-06,2.30E-09,6.00E-10,1.40E-05,1.30E-06,AMO,Otto Matic,17635,24/03/74,05/07/22,2453,,,0,0.42157,,,,,,,,,
2003752,  3752 Camillo (1985 PA),3752,Camillo,,Y,N,0,15.21,,,,,,,2.306,,0.21,37.846,,,,,,,,0.09,JPL 417,2460000.5,60000,2023-02-25.0,J2000,0.3015,1.414,0.987,55.56,147.96,312.23,16.91,1.84,0.5864,2459971.66,2023-01-27.1,614,1.68,0.0786,30.6,3.38,4.24,7.70E-09,6.60E-10,1.00E-08,1.20E-06,1.00E-06,1.30E-06,1.80E-06,8.60E-10,4.10E-10,3.10E-06,4.30E-07,APO,Otto Matic,17232,28/01/76,03/04/23,2412,4,4,0,0.35587,,,,,,,,,
2004769,  4769 Castalia (1989 PB),4769,Castalia,,Y,Y,0,17.53,,,,,,,1.4,,0.092,4.095,,,,,,,,,JPL 96,2460000.5,60000,2023-02-25.0,J2000,0.4831,1.063,0.55,8.89,325.53,121.41,144.62,1.58,0.899,2459839.64,2022-09-17.1,400,1.1,0.0202,7.86,3.67,5.68,6.10E-09,8.60E-11,6.50E-09,6.80E-07,3.50E-06,3.70E-06,8.20E-07,1.30E-10,1.10E-10,9.20E-07,4.90E-08,APO,Otto Matic,12031,01/08/89,10/07/22,362,8,7,0,0.48039,,,,,,,,,
2605911,605911 Cecily (2016 XD1),605911,Cecily,,Y,N,0,19.25,,,,,,,,,,,,,,,,,,,JPL 64,2460000.5,60000,2023-02-25.0,J2000,0.295,1.782,1.256,14.5,289.64,205.27,185.73,2.31,0.4143,2460421.19,2024-04-20.6,869,2.38,0.286,111,2.78,4,1.20E-07,2.10E-08,2.10E-07,8.70E-06,1.70E-05,2.00E-05,1.60E-05,2.70E-08,7.30E-09,4.30E-05,1.50E-05,AMO,Otto Matic,3674,20/09/11,11/10/21,342,,,0,0.4679,,,,,,,,,
2001865,  1865 Cerberus (1971 UA),1865,Cerberus,,Y,N,0,16.8,,,,,,,1.2,,0.22,6.8039,,0.79,0.442,,S,S,,,JPL 356,2460000.5,60000,2023-02-25.0,J2000,0.467,1.08,0.576,16.1,212.89,325.28,161.48,1.58,0.8782,2459816.62,2022-08-25.1,410,1.12,0.156,60.8,3.4,5.59,3.80E-08,1.20E-09,4.10E-08,3.70E-06,9.90E-06,1.10E-05,9.60E-06,1.70E-09,1.40E-09,1.10E-05,6.70E-07,APO,Otto Matic,18260,26/10/71,23/10/21,2146,,,0,0.37545,,,,,,,,,
2481984,481984 Cernunnos (2009 KL2),481984,Cernunnos,,Y,N,0,18.01,,,,,,,,,,,,,,,,,,,JPL 107,2460000.5,60000,2023-02-25.0,J2000,0.4699,2.199,1.166,9.46,173.71,165.83,39.99,3.23,0.3022,2459868.16,2022-10-15.6,1.19E+03,3.26,0.161,62.6,2.19,3.5,2.80E-08,5.10E-09,6.20E-08,3.90E-06,4.50E-05,4.70E-05,9.70E-06,7.50E-09,1.00E-09,3.20E-05,4.10E-06,AMO,Otto Matic,9563,18/09/96,24/11/22,420,,,0,0.47436,,,,,,,,,
2021088, 21088 Chelyabinsk (1992 BL2),21088,Chelyabinsk,,Y,N,0,14.32,,,,,,,2.793,,0.206,11.23,,,,,,,,0.08,JPL 650,2460000.5,60000,2023-02-25.0,J2000,0.2386,1.706,1.299,38.46,297.84,27.16,123.13,2.11,0.4422,2459722.03,2022-05-22.5,814,2.23,0.307,120,3.2,3.92,6.60E-09,2.40E-09,1.10E-08,6.40E-07,8.60E-07,2.00E-06,2.90E-06,3.00E-09,9.40E-10,6.10E-06,1.70E-06,AMO,Otto Matic,12109,30/01/90,27/03/23,4420,,,0,0.316,,,,,,,,,
2004503,  4503 Cleobulus (1989 WM),4503,Cleobulus,,Y,N,0,15.82,,,,,,,,,,2.8164,,,,,Sq,,,,JPL 213,2460000.5,60000,2023-02-25.0,J2000,0.5243,2.704,1.286,2.51,45.96,76.25,154.69,4.12,0.2217,2459302.74,2021-03-29.2,1.62E+03,4.45,0.305,119,1,3.15,2.80E-08,6.40E-09,7.70E-08,4.90E-06,7.80E-05,7.90E-05,6.80E-06,9.80E-09,7.90E-10,2.90E-05,5.80E-06,AMO,Otto Matic,14766,30/12/80,04/06/21,1247,,,0,0.50531,,,,,,,,,
